256 0.000174 0.000027
512 0.000686 0.000052
1024 0.002669 0.000121
2048 0.009915 0.000232
4096 0.049263 0.000439
8192 0.178213 0.000983
16384 0.792236 0.001842
32768 3.547312 0.004420
